"","Emp ID","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","dept","salary","status"
"212",2212,0.5,0.7,4,201,4,0,0,"RandD","medium","exist"
"213",2213,0.91,0.89,4,197,4,0,0,"marketing","medium","exist"
"214",2214,0.65,0.93,4,270,2,0,0,"sales","medium","exist"
"215",2215,0.59,0.52,2,149,3,0,0,"accounting","medium","exist"
"216",2216,0.89,0.56,3,256,3,0,0,"support","medium","exist"
"217",2217,0.97,0.6,3,162,3,0,0,"technical","medium","exist"
"218",2218,0.56,0.97,5,163,2,0,0,"management","high","exist"
"219",2219,0.76,0.93,3,266,3,1,0,"marketing","low","exist"
"220",2220,0.28,0.55,4,208,4,0,0,"marketing","medium","exist"
"221",2221,0.75,0.51,4,138,4,0,0,"marketing","medium","exist"
"222",2222,0.78,0.81,4,232,3,0,0,"sales","medium","exist"
"223",2223,0.26,0.63,6,100,4,0,0,"sales","medium","exist"
"224",2224,0.53,0.72,2,172,5,0,0,"sales","low","exist"
"225",2225,0.25,0.41,3,133,6,1,0,"sales","low","exist"
"226",2226,0.82,0.51,3,234,3,0,0,"sales","low","exist"
"227",2227,0.71,0.57,2,183,4,0,0,"sales","low","exist"
"228",2228,0.61,0.95,4,174,4,0,0,"sales","low","exist"
"229",2229,0.89,0.68,3,175,2,0,0,"sales","low","exist"
"230",2230,0.57,0.78,3,109,3,1,0,"sales","low","exist"
"231",2231,0.93,0.8,4,248,3,0,0,"sales","low","exist"
"232",2232,0.61,0.84,5,104,4,0,0,"sales","low","exist"
"233",2233,0.56,0.62,3,154,2,0,0,"sales","low","exist"
"234",2234,0.7,0.89,6,214,2,0,0,"sales","low","exist"
"235",2235,0.9,0.64,4,209,4,0,0,"sales","low","exist"
"236",2236,0.15,0.74,6,212,2,0,0,"sales","low","exist"
"237",2237,0.39,0.36,3,168,3,1,0,"sales","low","exist"
"238",2238,0.74,0.72,4,176,3,0,0,"sales","low","exist"
"239",2239,0.7,0.61,4,163,4,1,0,"sales","low","exist"
"240",2240,0.72,0.93,4,148,2,0,0,"sales","low","exist"
"241",2241,0.61,0.97,3,137,3,0,0,"accounting","low","exist"
"242",2242,0.96,1,5,162,3,0,0,"accounting","low","exist"
"243",2243,0.7,0.59,4,216,3,0,0,"accounting","low","exist"
"244",2244,0.92,0.49,3,240,2,0,0,"hr","low","exist"
"245",2245,0.72,0.56,4,176,2,0,0,"hr","medium","exist"
"246",2246,0.53,0.75,6,192,6,0,0,"hr","medium","exist"
"247",2247,0.67,0.85,3,160,4,0,0,"hr","medium","exist"
"248",2248,0.78,0.8,4,194,2,1,0,"technical","medium","exist"
"249",2249,0.53,0.75,4,239,2,1,0,"technical","medium","exist"
"250",2250,0.9,0.48,4,204,3,0,0,"technical","medium","exist"
"251",2251,0.16,0.9,5,258,3,0,0,"technical","medium","exist"
"252",2252,0.62,0.38,3,257,3,0,0,"technical","medium","exist"
"253",2253,0.62,0.98,4,137,3,0,0,"technical","medium","exist"
"254",2254,0.22,0.52,6,175,4,0,0,"technical","medium","exist"
"255",2255,0.91,0.82,3,183,3,0,0,"technical","medium","exist"
"256",2256,0.87,0.74,4,190,4,0,0,"technical","medium","exist"
"257",2257,0.95,0.69,3,225,2,0,0,"technical","high","exist"
"258",2258,0.99,0.75,3,215,3,0,0,"technical","low","exist"
"259",2259,0.99,0.57,3,176,4,1,0,"support","medium","exist"
"260",2260,0.77,0.99,4,153,3,1,0,"support","medium","exist"
"261",2261,0.75,0.68,3,150,2,1,0,"support","medium","exist"
"262",2262,0.83,0.54,4,259,5,0,0,"support","medium","exist"
"263",2263,0.61,0.39,3,99,2,0,0,"support","low","exist"
"264",2264,0.91,0.97,3,167,2,0,0,"support","low","exist"
"265",2265,0.47,0.64,3,192,3,0,0,"support","low","exist"
"266",2266,0.77,0.61,5,146,3,0,0,"support","low","exist"
"267",2267,0.55,0.51,3,190,3,0,0,"support","low","exist"
"268",2268,0.32,0.48,5,246,3,0,0,"support","low","exist"
"269",2269,0.96,0.67,6,190,3,0,0,"support","low","exist"
"270",2270,0.72,0.79,5,260,2,0,0,"technical","low","exist"
"271",2271,0.8,0.9,4,136,3,0,0,"technical","low","exist"
"272",2272,0.61,0.55,4,231,3,0,0,"technical","low","exist"
"273",2273,0.97,0.88,3,204,2,0,0,"management","low","exist"
"274",2274,0.63,0.93,4,201,3,0,0,"IT","low","exist"
"275",2275,0.92,0.92,3,159,3,0,0,"IT","low","exist"
"276",2276,0.94,0.74,5,171,3,0,0,"IT","low","exist"
"277",2277,0.79,0.72,6,240,4,0,0,"IT","low","exist"
"278",2278,0.75,0.73,2,152,4,0,0,"IT","low","exist"
"279",2279,0.78,0.99,3,151,3,1,0,"product_mng","low","exist"
"280",2280,0.96,0.45,6,232,2,1,0,"product_mng","low","exist"
"281",2281,0.65,0.68,4,128,5,0,0,"product_mng","low","exist"
"282",2282,0.18,0.94,3,187,6,1,0,"product_mng","low","exist"
"283",2283,0.94,0.51,3,160,2,0,0,"IT","low","exist"
"284",2284,0.84,0.79,4,259,3,0,0,"RandD","medium","exist"
"285",2285,0.67,0.54,2,136,2,0,0,"RandD","medium","exist"
"286",2286,0.71,0.5,4,253,3,0,0,"RandD","medium","exist"
"287",2287,0.56,0.64,3,260,3,0,0,"RandD","medium","exist"
"288",2288,0.29,0.56,5,231,6,0,0,"RandD","medium","exist"
"289",2289,0.47,0.9,3,101,2,1,0,"marketing","medium","exist"
"290",2290,0.4,0.69,2,174,3,0,0,"sales","medium","exist"
"291",2291,0.81,0.82,4,167,2,0,0,"accounting","medium","exist"
"292",2292,0.96,0.99,3,148,3,0,0,"support","medium","exist"
"293",2293,0.99,0.75,6,139,5,1,0,"technical","medium","exist"
"294",2294,0.75,0.77,4,136,3,0,0,"management","medium","exist"
"295",2295,0.75,0.74,4,153,2,0,0,"marketing","medium","exist"
"296",2296,1,0.86,4,161,2,0,0,"marketing","high","exist"
"297",2297,0.52,0.53,2,163,2,0,0,"marketing","low","exist"
"298",2298,0.98,0.74,3,164,3,0,0,"sales","medium","exist"
"299",2299,0.6,0.64,2,137,5,0,0,"sales","medium","exist"
"300",2300,0.38,0.44,3,137,3,0,0,"sales","medium","exist"
"301",2301,0.51,0.41,6,106,5,0,0,"sales","medium","exist"
"302",2302,0.91,0.61,2,272,2,0,0,"sales","low","exist"
"303",2303,0.56,0.62,5,238,3,0,0,"sales","low","exist"
"304",2304,0.58,0.69,4,223,4,0,0,"sales","low","exist"
"305",2305,0.51,0.53,3,201,2,0,0,"sales","low","exist"
"306",2306,0.91,0.55,6,97,4,0,0,"sales","low","exist"
"307",2307,0.8,0.98,2,232,6,1,0,"sales","low","exist"
"308",2308,0.55,0.83,4,199,3,0,0,"sales","low","exist"
"309",2309,0.62,0.53,3,141,3,0,0,"sales","low","exist"
"310",2310,0.62,0.6,3,171,2,0,0,"sales","low","exist"
"311",2311,0.87,0.58,4,212,3,0,0,"sales","low","exist"
"312",2312,0.65,0.5,5,270,2,0,0,"sales","low","exist"
"313",2313,0.51,0.64,3,267,2,0,0,"sales","low","exist"
"314",2314,0.98,0.77,3,134,2,1,0,"sales","low","exist"
"315",2315,0.13,0.43,4,165,5,0,0,"sales","low","exist"
"316",2316,0.78,0.76,5,168,4,1,0,"sales","low","exist"
"317",2317,0.6,0.98,3,262,2,0,0,"accounting","low","exist"
"318",2318,0.68,0.69,3,185,2,0,0,"accounting","low","exist"
"319",2319,0.55,0.84,3,237,3,0,0,"accounting","low","exist"
"320",2320,0.99,0.79,4,192,3,0,0,"hr","low","exist"
"321",2321,0.92,0.68,5,236,2,0,0,"hr","low","exist"
"322",2322,1,0.65,4,202,4,1,0,"hr","low","exist"
"323",2323,0.77,0.93,4,171,2,0,0,"hr","medium","exist"
"324",2324,0.86,0.7,5,160,3,0,0,"technical","medium","exist"
"325",2325,0.89,0.84,2,252,3,0,0,"technical","medium","exist"
"326",2326,0.58,0.55,5,206,3,0,0,"technical","medium","exist"
"327",2327,0.56,0.66,3,212,2,0,0,"technical","medium","exist"
"328",2328,0.38,0.64,3,111,3,0,0,"technical","medium","exist"
"329",2329,0.62,0.64,3,240,2,0,0,"technical","medium","exist"
"330",2330,0.66,0.77,2,171,2,0,0,"technical","medium","exist"
"331",2331,0.3,0.44,3,129,2,0,0,"technical","medium","exist"
"332",2332,0.82,0.83,3,271,2,0,0,"technical","medium","exist"
"333",2333,0.96,0.68,4,162,2,0,0,"technical","medium","exist"
"334",2334,0.66,0.95,3,191,3,0,0,"technical","medium","exist"
"335",2335,0.79,0.5,5,176,3,0,0,"support","high","exist"
"336",2336,0.97,0.77,3,182,2,1,0,"support","low","exist"
"337",2337,0.59,0.65,3,226,3,0,0,"support","medium","exist"
"338",2338,0.57,0.48,4,161,3,0,0,"support","medium","exist"
"339",2339,0.64,0.53,4,163,3,0,0,"support","medium","exist"
"340",2340,0.14,0.51,5,173,4,0,0,"support","medium","exist"
"341",2341,0.48,0.55,3,228,2,0,0,"support","low","exist"
"342",2342,0.78,1,3,139,3,0,0,"support","low","exist"
"343",2343,0.96,0.62,5,128,5,0,0,"support","low","exist"
"344",2344,0.82,0.97,3,115,2,1,0,"support","low","exist"
"345",2345,0.94,0.9,5,191,4,0,0,"support","low","exist"
"346",2346,0.95,0.66,4,183,3,0,0,"technical","low","exist"
"347",2347,0.59,0.43,3,173,3,0,0,"technical","low","exist"
"348",2348,0.69,0.89,4,174,2,0,0,"technical","low","exist"
"349",2349,0.74,0.72,3,213,3,0,0,"management","low","exist"
"350",2350,0.67,0.67,4,192,4,0,0,"IT","low","exist"
"351",2351,0.83,0.52,3,167,2,1,0,"IT","low","exist"
"352",2352,0.81,0.85,3,263,3,1,0,"IT","low","exist"
"353",2353,0.54,0.73,2,100,3,0,0,"IT","low","exist"
"354",2354,0.89,0.83,3,164,3,0,0,"IT","low","exist"
"355",2355,0.79,0.74,5,172,2,0,0,"product_mng","low","exist"
"356",2356,0.46,0.58,4,171,3,0,0,"product_mng","low","exist"
"357",2357,0.99,0.93,4,236,3,0,0,"product_mng","low","exist"
"358",2358,0.75,0.9,5,186,4,0,0,"product_mng","low","exist"
"359",2359,0.93,0.82,4,175,3,0,0,"IT","low","exist"
"360",2360,0.65,0.6,5,227,3,0,0,"RandD","low","exist"
"361",2361,0.19,0.63,4,142,6,0,0,"RandD","low","exist"
"362",2362,0.48,0.61,2,121,2,0,0,"RandD","medium","exist"
"363",2363,0.95,0.64,5,234,3,0,0,"RandD","medium","exist"
"364",2364,0.92,0.77,4,185,3,0,0,"RandD","medium","exist"
"365",2365,0.84,0.54,4,160,3,0,0,"marketing","medium","exist"
"366",2366,0.37,0.63,4,153,3,1,0,"sales","medium","exist"
"367",2367,0.22,0.74,3,199,6,0,0,"accounting","medium","exist"
"368",2368,0.64,0.54,3,166,2,0,0,"support","medium","exist"
"369",2369,0.72,0.88,2,247,3,0,0,"technical","medium","exist"
"370",2370,0.48,0.69,4,245,3,0,0,"management","medium","exist"
"371",2371,0.12,0.55,5,242,4,0,0,"marketing","medium","exist"
"372",2372,0.78,0.98,5,158,2,0,0,"marketing","medium","exist"
"373",2373,0.71,0.74,3,163,3,1,0,"marketing","medium","exist"
"374",2374,0.38,0.69,3,99,3,1,0,"sales","high","exist"
"375",2375,0.57,0.85,4,164,3,0,0,"sales","low","exist"
"376",2376,0.72,0.51,3,160,3,0,0,"sales","medium","exist"
"377",2377,0.6,0.57,2,184,3,0,0,"sales","medium","exist"
"378",2378,0.61,0.55,5,266,2,0,0,"sales","medium","exist"
"379",2379,0.67,0.64,4,190,2,0,0,"sales","medium","exist"
"380",2380,0.97,0.97,5,192,2,0,0,"sales","low","exist"
"381",2381,0.22,0.6,3,205,6,1,0,"sales","low","exist"
"382",2382,0.15,0.53,4,205,5,1,0,"sales","low","exist"
"383",2383,0.6,0.6,3,258,3,0,0,"sales","low","exist"
"384",2384,0.15,0.8,5,151,2,1,0,"sales","low","exist"
"385",2385,0.5,0.81,3,148,2,0,0,"sales","low","exist"
"386",2386,0.9,0.67,3,179,2,0,0,"sales","low","exist"
"387",2387,0.84,0.51,6,141,2,1,0,"sales","low","exist"
"388",2388,0.74,0.78,5,216,2,0,0,"sales","low","exist"
"389",2389,0.72,0.51,3,235,2,0,0,"sales","low","exist"
"390",2390,0.93,0.63,3,160,4,1,0,"sales","low","exist"
"391",2391,0.54,0.69,3,141,4,0,0,"sales","low","exist"
"392",2392,0.87,0.65,4,246,2,1,0,"sales","low","exist"
"393",2393,0.19,0.98,5,226,4,1,0,"accounting","low","exist"
"394",2394,0.33,0.4,4,212,2,1,0,"accounting","low","exist"
"395",2395,0.94,0.93,4,220,3,0,0,"accounting","low","exist"
"396",2396,0.77,0.49,4,266,2,0,0,"hr","low","exist"
"397",2397,0.48,0.82,3,183,2,0,0,"hr","low","exist"
"398",2398,0.7,0.74,5,263,3,1,0,"hr","low","exist"
"399",2399,0.54,0.93,4,161,4,1,0,"hr","low","exist"
"400",2400,0.61,0.98,4,199,2,0,0,"technical","low","exist"
"401",2401,0.97,0.4,4,258,4,1,0,"technical","medium","exist"
"402",2402,0.6,0.85,3,209,2,1,0,"technical","medium","exist"
